FNV	A32	DJB
1008	1002	958
1046	963	995
973	994	1043
948	1007	1008
1023	1006	987
1018	979	993
1019	1008	998
984	1024	963
1000	1041	989
919	1001	1000
1004	1033	1041
994	990	1057
1047	1022	1012
1049	1000	985
975	989	990
1034	993	993
975	973	987
986	993	1022
975	962	1021
952	1005	1038
1006	1033	1030
1048	1057	995
1003	1040	956
1047	1034	1006
958	981	1003
972	979	1004
994	1040	945
995	970	1041
957	991	971
1001	925	1032
993	994	986
991	1043	1023
1001	1013	1009
985	1006	975
1039	1024	981
1017	1028	991
1003	983	1039
987	1002	1040
1059	985	1029
1011	1057	986
952	965	1013
1018	967	993
1020	990	1029
1008	1025	991
1019	1036	999
1097	954	984
974	1014	996
997	1006	991
1068	1000	1066
1027	978	931
976	968	1025
1005	998	996
1010	960	1004
1006	976	1029
980	958	983
984	947	973
971	997	985
1020	986	1011
1007	1001	996
1021	1001	1037
983	1002	1039
1006	993	1001
1016	1017	977
1007	1067	1000
996	1000	943
986	1031	945
965	982	1002
982	1009	1060
1027	983	939
1045	1035	978
1012	1043	994
997	1017	990
1010	1047	996
956	1011	1005
965	1018	991
995	959	956
1029	988	1045
1015	1039	1007
1020	1024	1042
976	981	983
971	963	1030
968	975	973
968	1013	1014
966	983	1025
1037	969	968
1020	965	935
997	1023	1033
960	992	1009
967	987	1004
1024	1000	1006
1040	960	1022
997	1003	971
998	971	991
1007	1018	1005
967	982	931
935	1011	1006
1060	1076	982
1046	1024	1013
980	946	983
948	996	1052
